"Kod";"Nazwa";"Współczynniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"dzietność";"2002";1,249;"-";"";
0000000;"POLSKA";"dzietność";"2003";1,222;"-";"";
0000000;"POLSKA";"dzietność";"2004";1,227;"-";"";
0000000;"POLSKA";"dzietność";"2005";1,243;"-";"";
0000000;"POLSKA";"dzietność";"2006";1,267;"-";"";
0000000;"POLSKA";"dzietność";"2007";1,306;"-";"";
0000000;"POLSKA";"dzietność";"2008";1,390;"-";"";
0000000;"POLSKA";"dzietność";"2009";1,398;"-";"";
0000000;"POLSKA";"dzietność";"2010";1,376;"-";"";
0000000;"POLSKA";"dzietność";"2011";1,297;"-";"";
0000000;"POLSKA";"dzietność";"2012";1,299;"-";"";
0000000;"POLSKA";"dzietność";"2013";1,256;"-";"";
0000000;"POLSKA";"dzietność";"2014";1,290;"-";"";
0000000;"POLSKA";"dzietność";"2015";1,289;"-";"";
0000000;"POLSKA";"dzietność";"2016";1,357;"-";"";
0000000;"POLSKA";"dzietność";"2017";1,453;"-";"";
0000000;"POLSKA";"dzietność";"2018";1,435;"-";"";
0000000;"POLSKA";"reprodukcja brutto";"2002";0,606;"-";"";
0000000;"POLSKA";"reprodukcja brutto";"2003";0,594;"-";"";
0000000;"POLSKA";"reprodukcja brutto";"2004";0,595;"-";"";
0000000;"POLSKA";"reprodukcja brutto";"2005";0,604;"-";"";
0000000;"POLSKA";"reprodukcja brutto";"2006";0,615;"-";"";
0000000;"POLSKA";"reprodukcja brutto";"2007";0,635;"-";"";
0000000;"POLSKA";"reprodukcja brutto";"2008";0,676;"-";"";
0000000;"POLSKA";"reprodukcja brutto";"2009";0,678;"-";"";
0000000;"POLSKA";"reprodukcja brutto";"2010";0,662;"-";"";
0000000;"POLSKA";"reprodukcja brutto";"2011";0,630;"-";"";
0000000;"POLSKA";"reprodukcja brutto";"2012";0,631;"-";"";
0000000;"POLSKA";"reprodukcja brutto";"2013";0,611;"-";"";
0000000;"POLSKA";"reprodukcja brutto";"2014";0,626;"-";"";
0000000;"POLSKA";"reprodukcja brutto";"2015";0,627;"-";"";
0000000;"POLSKA";"reprodukcja brutto";"2016";0,660;"-";"";
0000000;"POLSKA";"reprodukcja brutto";"2017";0,707;"-";"";
0000000;"POLSKA";"reprodukcja brutto";"2018";0,696;"-";"";
