"Kod";"Nazwa";"Wyszczególnienie";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"ogółem";"2002";2239,56;"zł";"";
0000000;"POLSKA";"ogółem";"2003";2314,66;"zł";"";
0000000;"POLSKA";"ogółem";"2004";2409,69;"zł";"";
0000000;"POLSKA";"ogółem";"2005";2506,93;"zł";"";
0000000;"POLSKA";"ogółem";"2006";2636,81;"zł";"";
0000000;"POLSKA";"ogółem";"2007";2866,04;"zł";"";
0000000;"POLSKA";"ogółem";"2008";3158,48;"zł";"";
0000000;"POLSKA";"ogółem";"2009";3315,38;"zł";"";
0000000;"POLSKA";"ogółem";"2010";3435,00;"zł";"";
0000000;"POLSKA";"ogółem";"2011";3625,21;"zł";"";
0000000;"POLSKA";"ogółem";"2012";3744,38;"zł";"";
0000000;"POLSKA";"ogółem";"2013";3877,43;"zł";"";
0000000;"POLSKA";"ogółem";"2014";4003,99;"zł";"";
0000000;"POLSKA";"ogółem";"2015";4150,86;"zł";"";
0000000;"POLSKA";"ogółem";"2016";4290,52;"zł";"";
0000000;"POLSKA";"ogółem";"2017";4527,89;"zł";"";
0000000;"POLSKA";"ogółem";"2018";4834,76;"zł";"";
0000000;"POLSKA";"ogółem";"2019";;"zł";"n";
